Código,Descripción corta,Descripción larga,Prioridad,Tipo,Complejidad,Entrega,Incidencia
R1,Requisitos como incidencias,Requisitos perfectamente definidos y convertidos en incidencias (issues) de GitHub.,Mínimo,Técnico,Fácil,v1,
R2,Código fuente,Código fuente publicado en GitHub.,Mínimo,Técnico,Fácil,v1,
R3,Estilo del código,Estilo del código según las normas internas de Laravel Framework para el código y para las plantillas de las vistas.,Mínimo,Técnico,Fácil,v1,
R4,Tres lanzamientos,"Tres lanzamientos (releases) etiquetados en el repositorio como v1, v2 y v3.",Mínimo,Técnico,Fácil,v1,
R5,README.md,README.md en el directorio raíz con la descripción principal del proyecto.,Mínimo,Técnico,Fácil,v1,
R6,Documentación,"Documentación publicada en GitHub Pages:

- Contenido:
  - Guía general.
  - API (opcional).",Mínimo,Técnico,Fácil,v1,
R7,Incidencias en GitHub,Administración y resolución de todas las incidencias notificadas en GitHub.,Mínimo,Técnico,Fácil,v1,
R8,Etiquetas e hitos,"Usar etiquetas e hitos:

- Etiquetas: mínimo, importante, opcional (además de las ya existentes).
- Hitos: v1, v2, v3 (con fechas de entrega aproximadas).",Mínimo,Técnico,Fácil,v1,
R9,Rama master,"La rama master debe reflejar en todo momento el estado más estable de la aplicación, de manera que:

- La rama master no debe contener bugs conocidos.
- El desarrollo deberá hacerse en otras ramas creadas a tal efecto (una distinta por cada funcionalidad) y se irán combinado con la master una vez que se haya implementado la funcionalidad correspondiente.
- La release actual en el servicio de cloud computing corresponderá siempre con el último commit de la rama master.",Mínimo,Técnico,Fácil,v1,
R10,Gestión del proyecto,Usar GitHub Projects o similar para la gestión general del proyecto.,Mínimo,Técnico,Fácil,v1,
R11,Final de cada iteración,"Al final de cada iteración:

- Se realiza el lanzamiento que toque (v1, v2 o v3), etiquetando el commit correspondiente con el hito adecuado.
- Se actualiza y publica la documentación.
- Al final del Proyecto, se tiene que cumplir lo siguiente:
  - Todas las incidencias cerradas con su debida justificación.
  - En el backlog sólo pueden quedar tarjetas con prioridad opcional.
  - El lanzamiento v3 desplegado en la nube.
  - La documentación correctamente actualizada y publicada.",Mínimo,Técnico,Fácil,v1,
R12,Validación de formularios,Validación de  los campos de los formularios.,Mínimo,Técnico,Fácil,v1,
R13,Gestión de ventanas,Gestión de ventanas. Gestión de la apariencia de las ventanas. Creación de nuevas ventanas y comunicación entre ventanas. (Opcional),Mínimo,Técnico,Fácil,v1,
R14,Manejo de eventos,Interactividad  a través de mecanismos de manejo de eventos intuitivos y eficaces.,Mínimo,Técnico,Fácil,v1,
R15,DOM,Uso y manipulación de las características del modelo de objetos del documento (DOM).,Mínimo,Técnico,Fácil,v1,
R16,Almacenamiento en el lado del cliente,Uso de mecanismos de almacenamiento en el lado del cliente. ,Mínimo,Técnico,Fácil,v1,
R17,Alpine.js,Uso de la librería Alpine.js.,Mínimo,Técnico,Fácil,v1,
R18,Plugin no trabajado en clase,Incluir al menos un plugin no trabajado en clase.,Mínimo,Técnico,Fácil,v1,
R19,Utilización de AJAX,Utilización de mecanismos de comunicación asíncrona: AJAX.,Mínimo,Técnico,Fácil,v1,
R20,ECMAScript2015 (ES6),Uso de las nuevas incorporaciones del estándar ECMAScript2015 (ES6).,Mínimo,Técnico,Fácil,v1,
R21,PHP,Usar PHP 8.0 ó superior.,Mínimo,Técnico,Fácil,v1,
R22,Laravel Framework,Usar Laravel Framework 9.0 superior.,Mínimo,Técnico,Fácil,v1,
R23,PostgreSQL,Usar PostgreSQL versión 12 ó superior.,Mínimo,Técnico,Fácil,v1,
R24,Cloud computing,"4. Despliegue de la aplicación en alguna plataforma de cloud computing (tipo Heroku, Fly.io, Railway o similar) a determinar por el profesor.",Mínimo,Técnico,Fácil,v1,
R25,Pruebas funcionales,Creación de pruebas funcionales.,Mínimo,Técnico,Fácil,v1,
R26,Aplicación escalable,La aplicación ha de ser escalable.,Mínimo,Técnico,Fácil,v1,
R27,Etiquetas semánticas de HTML5,Para estructurar el contenido se utilizarán las etiquetas semánticas de HTML5.,Mínimo,Técnico,Fácil,v1,
R28,Presentación mediante CSS,Todo lo relacionado con la presentación se trabajará mediante CSS.,Mínimo,Técnico,Fácil,v1,
R29,Diseño flexible,El diseño será flexible.,Mínimo,Técnico,Fácil,v1,
R30,"Transiciones, transformaciones, animaciones y contenido multimedia","Existirán transiciones, transformaciones, animaciones y contenido multimedia.",Mínimo,Técnico,Fácil,v1,
R31,Uso de microdatos,Uso de microdatos.,Mínimo,Técnico,Fácil,v1,
R32,"Validación HTML5, CSS3 y accesibilidad","Se deberá comprobar que el código realizado supera:

- El validador para HTML5, CSS3.
- Nivel de accesibilidad AA.
- Prueba del seis.
",Mínimo,Técnico,Fácil,v1,
R33,Diseño para varias resoluciones,Implementar el diseño para resoluciones grandes y pequeñas.,Mínimo,Técnico,Fácil,v1,
R34,Varios navegadores,"Comprobar que el diseño es correcto en los siguientes navegadores:

- Microsoft Edge.
- Chrome.
- Mozilla Firefox.
- Opera.
",Mínimo,Técnico,Fácil,v1,
R35,Despliegue en un Host,"Realizar el despliegue en un Host:

- Utilizando algún servicio gratuito de hosting como los vistos en clase 
- Instalar / configurar o solicitar el software necesario para desplegar el proyecto.
",Mínimo,Técnico,Fácil,v1,
R36,Despliegue en un servidor local,"Realizar un despliegue en un servidor local usando y configurando tres máquinas virtuales para:

- Crear un servicio de Nombres de dominio.
- Gestionar y administrar el servidor Apache tanto en Windows como Linux:
  - Instalar el servidor y configurarlo.
  - Configurar directivas.
  - Usar directorios virtuales y redireccionamientos.
  - Usar diferentes módulos estáticos y dinámicos.
  - Usar autenticaciones.
  - Usar ficheros de configuración personalizada de directorios.
  - Usar HTTPS y certificados Digitales.
",Mínimo,Técnico,Fácil,v1,
R37,Uso de Breeze para autenticación de usuarios,Se implementará Breeze para la autenticación de usuarios.,Importante,Técnico,Fácil,v1,
R38,Uso de Inertia.js para crear la web,Se usará Inertia.js como intermediario para crear una aplicación de una sola página en combinación con React para el desarrollo del frontend.,Importante,Técnico,Media,v1,
R39,Registro de cuenta de usuario,"El usuario podrá registrarse en la página web creando una cuenta de usuario mediante un formulario, indicando:

- Email
- Nombre de usuario
- Contraseña",Importante,Funcional,Fácil,v1,
R40,Inicio de sesión,"El usuario podrá iniciar sesión en su cuenta de usuario mediante un formulario, indicando:

- Email o Nombre de usuario.
- Contraseña",Importante,Funcional,Fácil,v1,
R41,Modificar perfil de usuario,"El usuario podrá editar su información de usuario desde su perfil. Información como:

- Imagen de perfil.
- Imagen de portada del perfil.
- Localización.
- Biografía.
- Redes sociales.
- Nombre de usuario, email, contraseña.",Importante,Funcional,Fácil,v1,
R42,Eliminar cuenta de usuario,El usuario podrá eliminar su cuenta de usuario desde su perfil.,Importante,Funcional,Fácil,v1,
R43,Mostrar usuarios registrados en la web,El usuario administrador de la web podrá acceder a un apartado donde se mostrará un listado con todos los usuarios registrados en la web.,Importante,Funcional,Fácil,v1,
R44,Crear usuario,El usuario administrador de la web podrá crear un usuario desde el listado de usuarios.,Importante,Funcional,Fácil,v1,
R45,Editar usuario,El usuario administrador de la web podrá modificar la información de un usuario a través del listado de usuarios.,Importante,Funcional,Fácil,v1,
R46,Eliminar usuario,El usuario administrador de la web podrá eliminar un usuario o varios a la vez a través del listado de usuarios.,Importante,Funcional,Fácil,v1,
R47,Ordenar usuarios,"El usuario administrador podrá ordenar el listado de usuarios por nombre, fecha de creación…",Importante,Funcional,Fácil,v1,
R48,Búsqueda en el listado de usuarios,El usuario administrador podrá realizar una búsqueda de usuarios en el listado de usuarios.,Importante,Funcional,Fácil,v1,
R49,Crear categoría,"El usuario administrador podrá crear una nueva categoría mediante un formulario, indicando:

- Nombre de la categoría",Importante,Funcional,Fácil,v1,
R50,Modificar categoría,El usuario administrador podrá modificar el nombre de una categoría.,Importante,Funcional,Fácil,v1,
R51,Eliminar categoría,El usuario administrador podrá eliminar una categoría.,Importante,Funcional,Fácil,v1,
R52,Crear publicación,"El usuario podrá crear una publicación mediante un formulario, indicando:

- Imagen
- Título
- Descripción
- Categoría
- Localización",Importante,Funcional,Fácil,v1,
R53,Editar publicación,El usuario podrá editar la información de una publicación desde la propia publicación o desde su perfil.,Importante,Funcional,Fácil,v1,
R54,Eliminar publicación,El usuario podrá eliminar una publicación desde la propia publicación o varias publicaciones a la vez desde su perfil.,Importante,Funcional,Fácil,v1,
R55,Mostrar publicaciones de la web,El usuario administrador podrá acceder a un apartado donde se mostrará un listado con todas las publicaciones de la web.,Importante,Funcional,Fácil,v1,
R56,Eliminar publicación (Administrador),El usuario administrador podrá eliminar una publicación desde el listado de publicaciones.,Importante,Funcional,Fácil,v1,
R57,Ordenar publicaciones,"El usuario administrador podrá ordenar el listado de publicaciones por título, número de me gustas, ubicación…",Importante,Funcional,Fácil,v1,
R58,Buscar publicaciones en el listado de publicaciones,El usuario administrador podrá realizar una búsqueda de publicaciones en el listado de publicaciones.,Importante,Funcional,Fácil,v1,
R59,Crear álbum,"El usuario podrá crear un álbum mediante un formulario, indicando:

- Nombre
- Descripción
- Imagen de portada",Importante,Funcional,Fácil,v1,
R60,Editar álbum,El usuario podrá editar la información de un álbum.,Importante,Funcional,Fácil,v1,
R61,Eliminar álbum,El usuario podrá eliminar un álbum o varios a la vez.,Importante,Funcional,Fácil,v1,
R62,Añadir publicación a un álbum,El usuario podrá añadir una o varias publicaciones a la vez a un álbum.,Importante,Funcional,Fácil,v1,
R63,Quitar publicaciones de un álbum,El usuario podrá quitar una o varias publicaciones a la vez de un álbum.,Importante,Funcional,Fácil,v1,
R64,Visualizar álbum mediante Flipbook,En los álbumes habrá un botón mediante el cuál el usuario podrá visualizar las publicaciones de un álbum en formato Flipbook.,Importante,Funcional,Fácil,v1,
R65,Librería para crear Flipbook,Se usará una librería como Turn.js para crear los Flipbooks.,Importante,Técnico,Fácil,v1,
R66,Buscar usuarios,"El usuario podrá buscar otros usuarios mediante una barra de búsqueda, podrá filtrar la búsqueda por países.",Importante,Funcional,Fácil,v1,
R67,Página para invitados,"Habrá una página para usuarios sin sesión iniciada en la que podrá ver las últimas publicaciones pero no interactuar con ellas como comentar, dar me gusta, seguir usuarios…",Importante,Funcional,Fácil,v1,
